,Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD)
594,GeForce MX330,2367,787,,
595,GeForce MX350,2811,703,,
596,GeForce MX450,3723,587,,
597,GeForce MX550,4516,521,,
598,GeForce MX570,5714,416,,
599,GeForce MX570 A,6171,391,,
600,GeForce PCX 5300,6,2608,,
601,GeForce PCX 5750,34,2486,,
602,GeForce PCX 5900,34,2492,,
603,GeForce RTX 2050,7762,330,,
604,GeForce RTX 2060,14113,163,38.01,$371.27
605,GeForce RTX 2060 (Mobile),11352,237,,
606,GeForce RTX 2060 12GB,15926,127,,
607,GeForce RTX 2060 SUPER,16452,119,41.13,$399.99*
608,GeForce RTX 2060 with Max-Q Design,9733,267,,
609,GeForce RTX 2070,16095,126,41.33,$389.46*
610,GeForce RTX 2070 (Mobile),12357,208,,
611,GeForce RTX 2070 SUPER,18175,97,33.66,$539.99*
612,GeForce RTX 2070 Super with Max-Q Design,13591,175,,
613,GeForce RTX 2070 with Max-Q Design,11541,232,,
614,GeForce RTX 2080,18721,92,23.38,$800.61*
615,GeForce RTX 2080 (Mobile),15013,151,,
616,GeForce RTX 2080 SUPER,19493,84,28.46,$684.86*
617,GeForce RTX 2080 Super with Max-Q Design,13608,174,,
618,GeForce RTX 2080 Ti,21555,62,16.58,"$1,299.99*"
619,GeForce RTX 2080 with Max-Q Design,12820,194,6.1,"$2,099.99*"
620,GeForce RTX 3050 4GB Laptop GPU,9494,275,35.17,$269.99*
621,GeForce RTX 3050 6GB,10728,246,55.78,$192.32
622,GeForce RTX 3050 6GB Laptop GPU,10231,254,,
623,GeForce RTX 3050 8GB,12571,203,32.23,$389.99*
624,GeForce RTX 3050 A Laptop GPU,11663,229,,
625,GeForce RTX 3050 Laptop GPU,12144,216,,
626,GeForce RTX 3050 OEM,11849,219,54.62,$216.95
627,GeForce RTX 3050 Ti Laptop GPU,10101,258,,
628,GeForce RTX 3060,17157,105,,
629,GeForce RTX 3060 12GB,16815,112,60.06,$279.99
630,GeForce RTX 3060 8GB,15220,145,,
631,GeForce RTX 3060 Laptop GPU,13227,185,42.67,$309.99*
632,GeForce RTX 3060 Ti,20352,70,38.4,$529.99*
633,GeForce RTX 3070,22216,56,9.11,"$2,438.62"
634,GeForce RTX 3070 Laptop GPU,15317,143,,
635,GeForce RTX 3070 Ti,23364,46,27.63,$845.50
636,GeForce RTX 3070 Ti Laptop GPU,17744,98,,
637,GeForce RTX 3080,25090,38,13.39,"$1,873.94"
638,GeForce RTX 3080 12GB,26552,35,,
639,GeForce RTX 3080 Laptop GPU,16341,123,,
640,GeForce RTX 3080 Ti,26902,31,16.86,"$1,595.74"
641,GeForce RTX 3080 Ti Laptop GPU,19284,87,,
642,GeForce RTX 3090,26648,34,13.28,"$2,006.69*"
643,GeForce RTX 3090 Ti,29452,19,14.8,"$1,990.00*"
644,GeForce RTX 4050 Laptop GPU,14424,159,,
645,GeForce RTX 4060,19684,81,65.62,$299.99
646,GeForce RTX 4060 Laptop GPU,17489,102,,
647,GeForce RTX 4060 Ti,22697,50,51.59,$439.99
648,GeForce RTX 4060 Ti 16GB,22745,49,50.55,$449.99*
649,GeForce RTX 4070,26931,30,45.65,$589.99*
650,GeForce RTX 4070 Laptop GPU,19600,83,,
651,GeForce RTX 4070 SUPER,29974,18,35.38,$847.13*
652,GeForce RTX 4070 Ti,31610,12,34.77,$909.03*
653,GeForce RTX 4070 Ti SUPER,31777,11,18.68,"$1,701.19*"
654,GeForce RTX 4080,34437,5,22.99,"$1,498.07*"
655,GeForce RTX 4080 Laptop GPU,24992,39,,
656,GeForce RTX 4080 SUPER,34212,6,31.1,"$1,099.99*"
657,GeForce RTX 4090,38215,3,17.74,"$2,153.94*"
658,GeForce RTX 4090 D,32259,10,,
659,GeForce RTX 4090 Laptop GPU,27242,28,,
660,GeForce RTX 5050,16763,113,62.09,$269.99
661,GeForce RTX 5050 Laptop GPU,17562,101,,
662,GeForce RTX 5060,20848,65,69.5,$299.99
663,GeForce RTX 5060 Laptop GPU,19143,89,,
664,GeForce RTX 5060 Ti 16GB,22903,48,50.9,$449.99
665,GeForce RTX 5060 Ti 8GB,22248,55,58.55,$379.99
666,GeForce RTX 5070,29019,20,48.37,$599.99
667,GeForce RTX 5070 Laptop GPU,20682,68,,
668,GeForce RTX 5070 Ti,32867,8,39.6,$829.99
669,GeForce RTX 5070 Ti Laptop GPU,23966,43,,
670,GeForce RTX 5080,36395,4,28.77,"$1,264.99"
671,GeForce RTX 5080 Laptop GPU,27676,25,,
672,GeForce RTX 5090,39611,2,15.0,"$2,639.99"
673,GeForce RTX 5090 D,43923,1,,
674,GeForce RTX 5090 Laptop GPU,30161,16,,
675,GeForce2 Go,4,2660,,
676,GeForce2 GTS/GeForce2 Pro,3,2665,,
677,GeForce2 Integrated GPU,4,2655,,
678,GeForce2 MX,2,2703,,
679,GeForce2 MX 100/200,3,2689,,
680,GeForce2 MX with DVI-D and TV-out,4,2639,,
681,GeForce2 MX with TV Out,2,2711,,
682,GeForce2 MX/MX 400,3,2667,,
683,GeForce2 Ti,4,2647,,
684,GeForce2 Ultra,6,2606,,
685,GeForce3,4,2636,,
686,GeForce3 Ti 200,4,2662,,
687,GeForce3 Ti 500,2,2713,,
688,GeForce4 420 Go,3,2686,,
689,GeForce4 420 Go 32M,5,2626,,
690,GeForce4 4200 Go,3,2666,,
691,GeForce4 440,4,2633,,
692,GeForce4 440 Go,3,2673,,
693,GeForce4 440 Go 64M,5,2612,,
694,GeForce4 448 Go,5,2623,,
695,GeForce4 MX 4000,4,2653,,
696,GeForce4 MX 420,4,2640,,
697,GeForce4 MX 440,4,2650,,
698,GeForce4 MX 440 with AGP8X,4,2637,,
699,GeForce4 MX 440SE,4,2649,,
700,GeForce4 MX 460,4,2659,,
701,GeForce4 MX Integrated GPU,6,2604,,
702,GeForce4 Ti 4200,5,2622,,
703,GeForce4 Ti 4400,7,2597,,
704,GeForce4 Ti 4600,5,2624,0.1,$53.99*
705,GeForce4 Ti 4800,5,2614,,
706,GeForce4 Ti 4800 SE,6,2600,,
707,GeForce9400M,105,2260,,
708,GF117,554,1698,,
709,Glenfly Arise-GT-10C0,1007,1274,,
710,GRID GTX P40-6,4340,540,,
711,GRID K1,650,1571,1.65,$395.00*
712,GRID K120Q,293,1966,,
713,GRID K140Q,727,1494,,
714,GRID K160Q,628,1600,,
715,GRID K180Q,533,1730,,
716,GRID K2,2736,717,2.05,"$1,331.97*"
717,GRID K220Q,912,1336,,
718,GRID K240Q,2541,751,,
719,GRID K260Q,2949,685,,
720,GRID K280Q,2839,699,,
721,GRID K520,3516,616,23.44,$149.99*
722,GRID M10-0B,870,1361,,
723,GRID M10-0Q,795,1427,,
724,GRID M10-1B,1493,1087,,
725,GRID M10-1Q,2384,782,,
726,GRID M10-2B,1623,1029,,
727,GRID M10-2Q,2691,725,,
728,GRID M10-4Q,2976,679,,
729,GRID M10-8Q,2068,871,,
730,GRID M6-0B,911,1337,,
731,GRID M6-1Q,2069,870,,
732,GRID M6-8Q,3568,609,,
733,GRID M60-0B,1838,957,,
734,GRID M60-0Q,827,1399,,
735,GRID M60-1B,4456,529,,
736,GRID M60-1Q,3694,588,,
737,GRID M60-2Q,5203,461,,
738,GRID M60-4Q,3831,578,,
739,GRID M60-8A,5523,434,,
740,GRID M60-8Q,3883,571,,
741,GRID P100-16Q,5944,401,,
742,GRID P100-1B,2223,830,,
743,GRID P100-8Q,3267,641,,
744,GRID P4-1B,2151,850,,
745,GRID P4-1Q,729,1491,,
746,GRID P4-2B4,2753,715,,
747,GRID P4-2Q,2692,724,,
748,GRID P4-4Q,6234,388,,
749,GRID P4-8A,3206,653,,
750,GRID P4-8Q,5355,447,,
751,GRID P40-12Q,5752,415,,
752,GRID P40-1B,3690,591,,
753,GRID P40-1Q,7571,342,,
754,GRID P40-24Q,7956,322,,
755,GRID P40-2B,9842,262,,
756,GRID P40-2B4,8160,314,,
757,GRID P40-2Q,4130,554,,
758,GRID P40-3Q,681,1535,,
759,GRID P40-4Q,4921,491,,
760,GRID P40-8Q,7507,348,,
761,GRID P6-2Q,3925,566,,
762,GRID P6-4Q,4429,531,,
763,GRID RTX6000-1B,8473,304,,
764,GRID RTX6000-6Q,21986,61,,
765,GRID RTX6000P-6Q,4777,503,,
766,GRID T4-16Q,4910,492,,
767,GRID T4-1B,1731,985,,
768,GRID T4-1Q,3302,637,,
769,GRID T4-2B,2900,691,,
770,GRID T4-2Q,3765,583,,
771,GRID T4-4Q,3608,603,,
772,GRID T4-8Q,5565,427,,
773,GRID V100-8Q,16,2562,,
774,GRID V100D-8Q,4155,552,,
775,GT 430,223,2041,1.56,$142.88*
776,IncrediblE HD,389,1880,,
777,IncrediblE HD 4000,517,1750,,
778,IncrediblE HD 4600,749,1471,,
779,Intel - Express Chipset G41,56,2401,,
780,Intel - Express Chipset Q45/Q43,57,2396,,
781,Intel 2nd Generation SandyBridge HD,169,2111,,
782,Intel 2nd Generation SandyBridge HD 3000,205,2068,,
783,Intel 4th Generation Haswell HD,419,1859,,
784,Intel 82845G Controller,2,2720,,
785,Intel 82845G/GL Controller,2,2708,,
786,Intel 82845G/GL/GE/PE/GV Controller,2,2700,,
787,Intel 82852/82855 GM/GME Controller,1,2732,,
788,Intel 82865G Controller,4,2644,,
789,Intel 82915G Express,5,2618,,
790,Intel 82915G/915GV/910GL,3,2674,,
791,Intel 82915G/GV/910GL Advanced v3.5,2,2707,,
792,Intel 82915G/GV/910GL Express,3,2695,,
793,Intel 82945G Express,9,2579,,
794,Intel 82945G Express-Chipsatzfamilie,8,2589,,
795,Intel 865 Embedded Controller,3,2675,,
796,"Intel 915G,910G Express",4,2664,,
797,Intel 915G/915GV/910GL Embedded Controller Functio,4,2645,,
798,Intel 945G Embedded Chipset Function 0,4,2652,,
799,Intel 946GZ Embedded Chipset,3,2690,,
800,Intel 946GZ Express,2,2722,,
801,Intel Arc,5507,435,21.18,$259.99
802,Intel Arc 130T GPU,6417,381,,
803,Intel Arc 130V GPU,4612,514,,
804,Intel Arc 140T,5634,420,,
805,Intel Arc 140T GPU,6843,364,,
806,Intel Arc 140V GPU,5226,459,,
807,Intel Arc A310,5432,441,41.79,$129.99
808,Intel Arc A310 LP,4930,488,,
809,Intel Arc A370M,5115,470,,
810,Intel Arc A380,6252,384,41.69,$149.99
811,Intel Arc A530M,7915,324,,
812,Intel Arc A580,12003,218,66.69,$179.99*
813,Intel Arc A730M,9808,263,,
814,Intel Arc A750,12527,206,48.18,$259.99*
815,Intel Arc A770,13250,184,30.12,$439.99*
816,Intel Arc A770M,11803,221,,
817,Intel Arc B570,14182,162,,
818,Intel Arc B580,15759,132,63.29,$249.00*
819,Intel Arc Pro,5775,412,,
820,Intel Arc Pro 140T GPU,6695,370,,
821,Intel Arc Pro A40/A50,5478,438,,
822,Intel Arc Pro A60,9194,284,,
823,Intel B43 Express Chipset,138,2168,,
824,Intel Coffee Lake UHD,1158,1203,,
825,Intel Extreme Controller,1,2723,,
826,Intel G33/G31 Express,38,2468,,
827,Intel G35 Express,2097,866,,
828,Intel G41 Express Chipset,145,2146,,
829,Intel G41 Express-Chipsatz,57,2398,,
830,Intel G45/G43 Express Chipset,141,2158,,
831,Intel G45/G43/G41 Express Chipset,67,2369,,
832,Intel G965 Express,222,2042,,
833,Intel GMA 3150 Express,2,2714,,
834,Intel Graphics,3168,657,,
835,Intel Haswell HD - GT1,123,2210,,
836,Intel Haswell HD - GT2,139,2166,,
837,Intel HD 2000,213,2057,,
838,Intel HD 3000,260,2004,0.28,$945.00*
839,Intel HD 4000,344,1919,0.22,"$1,592.95*"
840,Intel HD 4400,524,1743,,
841,Intel HD 4600,628,1601,,
842,Intel HD 4600 manual-gen9_2015-134121,619,1609,,
843,Intel HD 500,300,1964,,
844,Intel HD 5000,584,1657,0.94,$625.00*
845,Intel HD 505,359,1910,,
846,Intel HD 510,619,1608,,
847,Intel HD 515,637,1584,,
848,Intel HD 520,862,1366,,
849,Intel HD 5200,830,1397,,
850,Intel HD 530,992,1288,,
851,Intel HD 5300,404,1871,,
852,Intel HD 5500,593,1641,,
853,Intel HD 5600,1868,945,,
854,Intel HD 6000,875,1358,,
855,Intel HD 610,689,1528,,
856,Intel HD 615,699,1520,,
857,Intel HD 630,1112,1218,,
858,Intel HD Family,464,1816,,
859,Intel HD Graphics 620,921,1331,,
860,Intel HD manual-15.28-1861,62,2384,,
861,Intel HD manual-gen9_2015-133271,165,2120,,
862,Intel HD Modded,112,2243,,
863,Intel HD P3000,282,1980,,
864,Intel HD P4000,516,1751,,
865,Intel HD P4600,505,1765,,
866,Intel HD P4600/P4700,630,1597,,
867,Intel HD P530,1154,1205,,
868,Intel HD P630,1220,1173,,
869,Intel Infoshock HD,193,2080,,
870,Intel Iris 5100,743,1478,,
871,Intel Iris 540,1262,1156,,
872,Intel Iris 550,1438,1099,,
873,Intel Iris 6100,902,1342,,
874,Intel Iris 650,1432,1102,,
875,Intel Iris Plus,1801,969,,
876,Intel Iris Plus 640,1357,1127,,
877,Intel Iris Plus 645,1749,980,,
878,Intel Iris Plus 650,1610,1037,,
879,Intel Iris Plus 655,1718,993,,
880,Intel Iris Pro 5200,1176,1191,,
881,Intel Iris Pro 580,1985,901,,
882,Intel Iris Pro 6100,925,1328,,
883,Intel Iris Pro Graphics 6200,1525,1072,,
884,Intel Iris Pro P580,1754,977,,
885,Intel Iris Pro P6300,1596,1043,,
886,Intel Iris Xe,2644,733,,
887,Intel Iris Xe MAX,1971,906,,
888,Intel Iris Xe MAX 100,1964,909,,
889,Intel Media Accelerator,32,2501,,
890,Intel Media Accelerator 3150,2,2699,,
891,Intel Media Accelerator 500,3,2682,,
892,Intel Media Accelerator 600,6,2599,,
893,Intel Media Accelerator HD,106,2257,,
894,Intel Poison Ivy,738,1483,,
895,Intel Q33 Express,7,2596,,
896,Intel Q35 Embedded,8,2585,,
897,Intel Q35 Express,64,2381,,
898,Intel Q45/Q43 Express Chipset,201,2070,,
899,Intel Q45/Q43 Express-Chipsatz,57,2399,,
900,Intel Q965/Q963 Express,125,2204,,
901,Intel Skylake HD DT GT2,576,1670,,
902,Intel UHD 630,614,1617,,
903,Intel UHD Graphics,1500,1084,,
904,Intel UHD Graphics 600,316,1952,,
905,Intel UHD Graphics 605,365,1906,,
906,Intel UHD Graphics 610,684,1533,,
907,Intel UHD Graphics 615,716,1507,,
908,Intel UHD Graphics 617,852,1376,,
909,Intel UHD Graphics 620,1041,1257,,
910,Intel UHD Graphics 630,1231,1170,,
911,Intel UHD Graphics 710,1059,1243,,
912,Intel UHD Graphics 730,1514,1074,,
913,Intel UHD Graphics 750,1711,995,,
914,Intel UHD Graphics 770,1902,931,,
915,Intel UHD Graphics P630,1983,902,,
916,Intel UHD Graphics P750,1662,1011,,
917,Intel US15 Embedded Media and Controller,7,2595,,
918,ION,108,2253,0.47,$229.99*
919,ION LE,97,2284,,
920,L4,7008,358,,
921,L4-12Q,3543,611,,
922,L4-1Q,258,2005,,
923,L4-2A,3063,671,,
924,L4-2Q,4062,559,,
925,L4-4Q,4926,490,,
926,L4-6Q,4473,525,,
927,L4-8Q,5706,417,,
928,L40-8Q,11670,228,,
929,L40S,20022,76,,
930,L40S-12A,3659,600,,
931,L40S-12Q,4151,553,,
932,L40S-1Q,2931,687,,
933,L40S-8Q,5093,473,,
934,M860G with Mobility Radeon 4100,75,2341,,
935,M880G with Mobility Radeon HD 4200,92,2298,,
936,M880G with Mobility Radeon HD 4225,71,2353,,
937,M880G with Mobility Radeon HD 4250,104,2266,,
938,Master X3100 Driver,10,2576,,
939,Matrox C420 LP PCIe x16,597,1636,,
940,Matrox C680 PCIe x16,1873,943,,
941,Matrox C900 PCIe x16,1812,966,,
942,Matrox G200e WDDM 1.2,59,2391,,
943,Matrox G200e WDDM 2.0,100,2278,,
944,Matrox G200eh,40,2456,,
945,Matrox G200eh WDDM 1.2,51,2409,,
946,Matrox G200eh WDDM 2.0,49,2421,,
947,Matrox G200eR,36,2478,,
948,Matrox G200eR WDDM 1.2,45,2437,,
949,Matrox G200eR WDDM 2.0,67,2370,,
950,Matrox G200eW,39,2461,,
951,Matrox G200eW WDDM 1.2,50,2420,,
952,Matrox G200eW3 WDDM 2.0,89,2307,,
953,Matrox LUMA A310,3690,590,,
954,Matrox LUMA A310F,3873,573,,
955,Matrox LUMA A380P,5811,409,,
956,Matrox M9120 PCIe x16,19,2549,,
957,Matrox M9120 Plus LP PCIe x16,25,2527,,
958,Matrox M9125 PCIe x16,25,2529,,
959,Matrox M9128 LP PCIe x16,31,2507,,
960,Matrox M9138 LP PCIe x16,42,2449,,
961,Matrox M9140 LP PCIe x16,23,2540,,
962,Matrox M9148 LP PCIe x16,40,2458,,
963,Matrox M9188 ATX PCIe x16,45,2436,,
964,Matrox Millennium P650 PCIe 128,5,2627,,
965,Matrox Millennium P690 PCIe x16,366,1903,,
966,Matrox Millennium P690 Plus LP PCIe x16,6,2601,,
967,Matrox Parhelia 128MB,3,2684,0.01,$393.99*
968,Matrox Parhelia 256MB,9,2580,,
969,Matrox Parhelia APVe,5,2620,,
970,MEDION RADEON 9800 XXL,71,2352,,
971,MEDION RADEON X740XL,94,2292,,
972,Meta Virtual Monitor,20761,66,,
973,Meta Virtual Monitor Ryzen 5 5625U,1008,1271,,
974,Mi Pad 5 Adreno 640 GPU,657,1560,,
975,Miracast display port driver V3,8421,307,,
976,Mirage Driver,1261,1157,,
977,MirrorOp Virtual Adaptor Ryzen 7 PRO 5850U,1345,1130,,
978,MIRRORV3,1080,1234,,
979,Mobile Intel - famiglia Express Chipset 45,38,2466,,
980,Mobile Intel 4 Express-Chipsatzfamilie,44,2443,,
981,Mobile Intel 45 Express,38,2470,,
982,Mobile Intel 45 Express-Chipsatzfamilie,117,2227,,
983,Mobile Intel 915GM/GMS/910GML Express,1,2726,,
984,Mobile Intel 945 Express,1,2727,,
985,Mobile Intel 945GM Express,5,2615,,
986,Mobile Intel 945GM/GU Express,5,2628,,
987,Mobile Intel 965 Express,46,2433,,
988,Mobile Intel 965 Express - BR-0907-0461 v1839,8,2587,,
989,Mobile Intel 965 Express-Chipsatzfamilie,24,2537,,
990,Mobile Intel HD,244,2020,0.51,$479.98*
991,Mobile Intel serie 4 Express,44,2442,,
992,Mobile Intel965 Express,17,2559,,
993,MOBILITY FIREGL 7800,4,2641,,
994,MOBILITY FIREGL T2,40,2455,,
995,MOBILITY FIREGL T2/T2e,33,2495,,
996,MOBILITY FireGL V3200,62,2386,,
997,MOBILITY FireGL V5000,81,2327,,
998,MOBILITY FireGL V5200,44,2439,,
999,MOBILITY FireGL V5250,27,2518,,
1000,Mobility FireGL V5725,219,2049,,
1001,MOBILITY IGP 9000/9100,10,2577,,
1002,Mobility Radeon 4100,81,2331,,
1003,MOBILITY RADEON 7000 IGP,6,2607,,
1004,MOBILITY RADEON 7500,3,2678,,
1005,MOBILITY RADEON 9000,3,2688,,
1006,MOBILITY RADEON 9000 IGP,7,2590,,
1007,MOBILITY RADEON 9000/9100 IGP,5,2619,,
1008,MOBILITY RADEON 9100 IGP,2,2698,,
1009,MOBILITY RADEON 9200,3,2697,,
1010,MOBILITY RADEON 9550,30,2512,,
1011,MOBILITY RADEON 9600,36,2482,,
1012,MOBILITY RADEON 9600 PRO TURBO,24,2533,,
1013,MOBILITY RADEON 9600/9700,39,2464,,
1014,MOBILITY RADEON 9700,27,2517,,
1015,MOBILITY RADEON 9800,46,2434,,
1016,Mobility Radeon HD 2300,50,2417,,
1017,Mobility Radeon HD 2400,89,2306,,
1018,Mobility Radeon HD 2400 XT,102,2272,,
1019,Mobility Radeon HD 2600,167,2114,,
1020,Mobility Radeon HD 2600 XT,191,2083,,
1021,Mobility Radeon HD 3400 Serisi,111,2246,,
1022,Mobility Radeon HD 3410,62,2383,,
1023,Mobility Radeon HD 3430,98,2283,,
1024,Mobility Radeon HD 3450,91,2304,,
1025,Mobility Radeon HD 3470,93,2295,,
1026,Mobility Radeon HD 3470 Hybrid X2,93,2294,,
1027,Mobility Radeon HD 3650,141,2159,1.93,$73.53*
1028,Mobility Radeon HD 3670,232,2031,,
1029,Mobility Radeon HD 3850,365,1905,,
1030,Mobility Radeon HD 3870,547,1710,,
1031,Mobility Radeon HD 3870 X2,477,1796,,
1032,Mobility Radeon HD 4200,90,2305,,
1033,Mobility Radeon HD 4225,66,2377,,
1034,Mobility Radeon HD 4250,98,2281,,
1035,Mobility Radeon HD 4270,92,2297,,
1036,Mobility Radeon HD 4300 Serisi,73,2348,,
1037,Mobility Radeon HD 4330,135,2174,,
1038,Mobility Radeon HD 4350,148,2138,,
1039,Mobility Radeon HD 4550,191,2085,,
1040,Mobility Radeon HD 4570,149,2134,1.98,$75.90*
1041,Mobility Radeon HD 4650,401,1874,,
1042,Mobility Radeon HD 4670,463,1818,,
1043,Mobility Radeon HD 4830,511,1753,,
1044,Mobility Radeon HD 4850,866,1365,,
1045,Mobility Radeon HD 4870,719,1502,,
1046,Mobility Radeon HD 5000,773,1447,,
1047,Mobility Radeon HD 5000 Serisi,478,1791,,
1048,Mobility Radeon HD 5165,284,1978,,
1049,Mobility Radeon HD 530v,174,2101,,
1050,Mobility Radeon HD 540v,188,2086,,
1051,Mobility Radeon HD 5430,181,2089,,
1052,Mobility Radeon HD 5450,214,2055,,
1053,Mobility Radeon HD 545v,199,2073,,
1054,Mobility Radeon HD 5470,236,2028,,
1055,Mobility Radeon HD 550v,266,1997,,
1056,Mobility Radeon HD 5570,525,1739,,
1057,Mobility Radeon HD 560v,318,1951,,
1058,Mobility Radeon HD 5650,442,1839,,
1059,Mobility Radeon HD 565v,353,1915,,
1060,Mobility Radeon HD 5730,507,1762,,
1061,Mobility Radeon HD 5850,763,1458,,
1062,Mobility Radeon HD 5870,1088,1231,,
1063,Mobility Radeon HD serie 4200,96,2288,,
1064,Mobility Radeon X1300,39,2462,,
1065,Mobility Radeon X1350,39,2460,,
1066,Mobility Radeon X1400,42,2446,,
1067,Mobility Radeon X1450,33,2498,,
1068,Mobility Radeon X1600,92,2300,,
1069,Mobility Radeon X1700,104,2263,,
1070,MOBILITY RADEON X1800,130,2187,,
1071,Mobility Radeon X1900,134,2175,,
1072,Mobility Radeon X2300,48,2428,,
1073,Mobility Radeon X2300 HD,48,2427,,
1074,Mobility Radeon X2500,81,2326,,
1075,MOBILITY RADEON X300,33,2494,,
1076,MOBILITY RADEON X600,50,2419,,
1077,MOBILITY RADEON X600 SE,49,2423,,
1078,MOBILITY RADEON X700,66,2374,,
1079,MOBILITY RADEON X700 XL,59,2388,,
1080,MOBILITY RADEON XPRESS 200,27,2521,,
1081,Mobility Radeon. HD 5470,215,2054,,
1082,MOBILITY/RADEON 9000,4,2661,,
1083,MONSTER GeForce GTX 675M,2637,734,,
1084,Moore Threads S3000 MTvGPU-1132,1997,893,,
1085,MxGPU,1282,1149,,
1086,N16P-GX,1204,1179,,
1087,N18E-Q1,2525,756,,
1088,nForce 750a SLI,83,2322,,
1089,nForce 760i SLI,140,2164,,
1090,nForce 780a SLI,92,2301,,
1091,nForce 980a/780a SLI,164,2122,,
1092,NV44,15,2563,,
1093,NVIDIA A10,22064,60,,
1094,NVIDIA A10-4Q,2756,714,,
1095,NVIDIA A10G,17660,100,,
1096,NVIDIA A40,13900,167,,
1097,NVIDIA A40-12Q,4335,541,,
1098,NVIDIA A40-4Q,4240,550,,
1099,NVIDIA A40-8Q,4681,512,,
1100,NVIDIA GeForce3 Ti200,5,2617,,
1101,NVIDIA TITAN X,13659,172,22.46,$608.10*
1102,NVIDIA TITAN Xp,18750,91,11.4,"$1,645.00*"
1103,NVS 2100M,139,2165,,
1104,NVS 300,121,2214,1.93,$62.97*
1105,NVS 310,273,1988,4.4,$62.06*
1106,NVS 3100M,119,2220,,
1107,NVS 315,324,1943,4.64,$69.99*
1108,NVS 4200M,300,1963,0.75,$399.00*
1109,NVS 510,682,1534,6.09,$111.99*
1110,NVS 5100M,199,2072,,
1111,NVS 5200M,504,1767,,
1112,NVS 5400M,614,1618,,
1113,NVS 810,1188,1186,1.9,$624.99*
1114,OPAL XT/GL,1053,1247,,
1115,P102-100,2911,690,,
1116,P104-100,3614,602,12.05,$299.99*
1117,P106-090,2404,775,,
1118,P106-100,6755,366,,
1119,Parsec Virtual Display Adapter,15007,152,,
1120,Parsec Virtual Display Adapter Ryzen 5 5600GT,2712,722,,
1121,PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C3 Ryzen,1653,1019,,
1122,PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C7 Ryzen,1642,1023,,
1123,PHDGD Ivy 4,374,1895,,
1124,PHDGD Ivy 5,445,1837,,
1125,PHDGD Quantic C3,116,2228,,
1126,PHDGD Sapphire GR for Mobile Intel 965,25,2526,,
1127,PHDGD Solo 1.2.0 x86,11,2575,,
1128,PHDGD Solo 2 x64,20,2548,,
1129,Q12U-1,5164,463,,
1130,Quadro 1000M,558,1693,10.25,$54.50*
1131,Quadro 1100M,755,1466,,
1132,Quadro 2000,947,1308,4.44,$213.23*
1133,Quadro 2000 D,1239,1161,,
1134,Quadro 2000D,976,1295,1.72,$566.12*
1135,Quadro 2000M,776,1437,3.38,$229.74*
1136,Quadro 2100M,1100,1223,,
1137,Quadro 280 NVS PCIe,5,2616,,
1138,Quadro 3000M,999,1282,14.29,$69.99*
1139,Quadro 400,148,2137,0.7,$211.00*
1140,Quadro 4000,1474,1095,2.98,$495.00*
1141,Quadro 4000M,1287,1146,5.55,$232.06*
1142,Quadro 410,438,1842,3.4,$129.00*
1143,Quadro 5000,1961,911,0.91,"$2,164.20"
1144,Quadro 5000M,2059,875,,
1145,Quadro 500M,570,1679,2.07,$275.14*
1146,Quadro 5010M,1691,1003,7.17,$235.95*
1147,Quadro 600,525,1740,6.91,$76.00*
1148,Quadro 6000,2687,726,0.66,"$4,092.38*"
1149,Quadro 7000,3505,617,,
1150,Quadro CX,947,1309,6.32,$149.95*
1151,Quadro FX 1000,34,2490,,
1152,Quadro FX 1100,35,2483,0.17,$212.99*
1153,Quadro FX 1300,34,2489,,
1154,Quadro FX 1400,124,2207,0.51,$245.01*
1155,Quadro FX 1500,169,2109,0.35,$479.11
1156,Quadro FX 1500M,171,2105,,
1157,Quadro FX 1600M,231,2033,1.54,$149.90*
1158,Quadro FX 1700,207,2065,0.59,$350.14*
1159,Quadro FX 1700M,172,2104,,
1160,Quadro FX 1800,402,1872,2.98,$135.00*
1161,Quadro FX 1800M,494,1778,,
1162,Quadro FX 2000,18,2556,,
1163,Quadro FX 2500M,217,2050,12.45,$17.50*
1164,Quadro FX 2700,543,1720,,
1165,Quadro FX 2700M,366,1902,3.67,$99.95*
1166,Quadro FX 2800M,414,1862,2.18,$190.00*
1167,Quadro FX 3000,69,2365,0.41,$166.61*
1168,Quadro FX 3400/4400,104,2265,,
1169,Quadro FX 3450,148,2136,1.24,$119.99*
1170,Quadro FX 3450/4000 SDI,179,2094,,
1171,Quadro FX 350,85,2312,,
1172,Quadro FX 3500,265,1998,3.84,$68.98*
1173,Quadro FX 3500M,306,1960,3.06,$99.99*
1174,Quadro FX 350M,44,2441,,
1175,Quadro FX 3600M,466,1811,,
1176,Quadro FX 360M,86,2310,,
1177,Quadro FX 370,83,2321,0.67,$125.00*
1178,Quadro FX 370 Low Profile,102,2269,,
1179,Quadro FX 370 LP,108,2254,,
1180,Quadro FX 3700,372,1897,1.74,$213.27*
1181,Quadro FX 3700M,450,1833,0.49,$925.00*
1182,Quadro FX 370M,93,2296,,
1183,Quadro FX 380,173,2103,2.39,$72.50*
1184,Quadro FX 380 LP,144,2148,,
1185,Quadro FX 3800,827,1398,3.19,$259.13*
