,Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD)
136,FirePro W2100,848,1377,14.39,$59.00*
137,FirePro W4100,1508,1077,8.2,$184.00*
138,FirePro W4170M,1059,1244,,
139,Firepro W4190M,1168,1193,,
140,FirePro W4300,2723,720,11.35,$239.99*
141,FirePro W5000,2958,683,16.08,$184.00*
142,FirePro W5100,2984,676,23.69,$125.99*
143,FirePro W5130M,1367,1120,,
144,Firepro W5170M,1840,955,,
145,FirePro W600,1685,1006,4.06,$414.99*
146,FirePro W6150M,2358,790,,
147,FirePro W7000,4273,547,15.37,$278.05*
148,FirePro W7000 Adapter,4359,538,,
149,FirePro W7100,5152,466,13.24,$389.30*
150,FirePro W7170M,2899,692,,
151,FirePro W8000,4259,549,7.43,$573.00*
152,FirePro W8100,6671,372,9.48,$704.00*
153,FirePro W9000,6157,392,7.29,$845.00*
154,FirePro W9100,7747,333,4.48,"$1,729.99*"
155,FireStream 9170,647,1576,,
156,FireStream 9250,1164,1196,,
157,FireStream 9270,1341,1131,,
158,FireStream 9370,2528,754,,
159,GeCube RADEON 7000,8,2583,,
160,GeForce 205,126,2202,,
161,GeForce 210,131,2184,2.43,$54.15*
162,GeForce 240M GT,319,1950,,
163,GeForce 256,5,2631,0.12,$42.04*
164,GeForce 305M,150,2132,,
165,GeForce 310,143,2154,1.32,$108.35*
166,GeForce 310M,125,2203,,
167,GeForce 315,196,2078,5.95,$32.99*
168,GeForce 315M,114,2234,,
169,GeForce 320M,209,2061,,
170,GeForce 405,117,2224,4.77,$24.64*
171,GeForce 410M,269,1993,,
172,GeForce 505,143,2150,1.25,$115.06*
173,GeForce 510,290,1971,4.15,$69.99*
174,GeForce 605,320,1948,2.34,$136.83*
175,GeForce 6100,27,2520,,
176,GeForce 6100 nForce 400,25,2531,,
177,GeForce 6100 nForce 405,26,2522,,
178,GeForce 6100 nForce 420,25,2530,,
179,GeForce 6100 nForce 430,23,2543,,
180,GeForce 610M,292,1969,,
181,GeForce 615,507,1763,,
182,GeForce 6150,21,2546,0.07,$329.00*
183,GeForce 6150 LE,33,2497,,
184,GeForce 6150SE,24,2534,,
185,GeForce 6150SE nForce 430,30,2511,,
186,GeForce 6200,37,2475,0.71,$53.17*
187,GeForce 6200 A-LE,32,2506,,
188,GeForce 6200 LE,32,2502,0.8,$41.24*
189,GeForce 6200 TurboCache,51,2410,,
190,GeForce 6200A,3,2676,0.07,$54.99*
191,GeForce 6200SE TurboCache,37,2477,,
192,GeForce 6500,38,2467,,
193,GeForce 6600,86,2311,0.33,$264.00*
194,GeForce 6600 GT,142,2155,2.2,$64.95*
195,GeForce 6600 LE,51,2413,,
196,GeForce 6610 XL,88,2308,,
197,GeForce 6700 XL,95,2290,,
198,GeForce 6800,112,2241,0.2,$559.29*
199,GeForce 6800 GS,191,2084,,
200,GeForce 6800 GS/XT,102,2270,,
201,GeForce 6800 GT,142,2157,,
202,GeForce 6800 LE,109,2250,,
203,GeForce 6800 Ultra,138,2167,,
204,GeForce 6800 XE,58,2394,,
205,GeForce 6800 XT,120,2215,,
206,GeForce 7000M,13,2567,,
207,GeForce 7000M / nForce 610M,12,2568,,
208,GeForce 7025 / nForce 630a,32,2503,,
209,GeForce 7050 / nForce 610i,25,2528,,
210,GeForce 7050 / nForce 620i,41,2452,,
211,GeForce 7050 / nForce 630i,37,2472,,
212,GeForce 7050 PV / nForce 630a,31,2508,,
213,GeForce 705M,455,1823,,
214,GeForce 7100 / nForce 620i,26,2525,,
215,GeForce 7100 / nForce 630i,41,2450,,
216,GeForce 7100 GS,51,2414,,
217,GeForce 710A,485,1784,,
218,GeForce 710M,450,1832,,
219,GeForce 7150 / nForce 630i,33,2500,,
220,GeForce 7150M / nForce 630M,18,2554,,
221,GeForce 7200 GS,23,2542,,
222,GeForce 720A,577,1668,,
223,GeForce 7300 GS,78,2337,,
224,GeForce 7300 GT,123,2209,0.82,$149.99*
225,GeForce 7300 LE,80,2334,2.5,$32.00*
226,GeForce 7300 SE,39,2465,,
227,GeForce 7300 SE/7200 GS,48,2426,,
228,GeForce 730A,770,1451,,
229,GeForce 7350 LE,74,2344,,
230,GeForce 7500 LE,84,2313,,
231,GeForce 7600 GS,160,2126,1.38,$116.09
232,GeForce 7600 GT,237,2026,1.19,$199.00*
233,GeForce 7650 GS,134,2181,,
234,GeForce 770M,3245,645,18.34,$176.99*
235,GeForce 7800 GS,177,2098,,
