Date,Time,"Core Clocks (avg) [MHz]","Zen5 Core 0 Clock (perf #2) [MHz]","Zen5 Core 1 Clock (perf #3) [MHz]","Zen5 Core 2 Clock (perf #1) [MHz]","Zen5 Core 3 Clock (perf #1) [MHz]","Zen5c Core 4 Clock (perf #4) [MHz]","Zen5c Core 5 Clock (perf #4) [MHz]","Zen5c Core 6 Clock (perf #4) [MHz]","Zen5c Core 7 Clock (perf #4) [MHz]","Zen5c Core 8 Clock (perf #4) [MHz]","Zen5c Core 9 Clock (perf #4) [MHz]","Core Usage (avg) [%]","Zen5 Core 0 T0 Usage [%]","Zen5 Core 0 T1 Usage [%]","Zen5 Core 1 T0 Usage [%]","Zen5 Core 1 T1 Usage [%]","Zen5 Core 2 T0 Usage [%]","Zen5 Core 2 T1 Usage [%]","Zen5 Core 3 T0 Usage [%]","Zen5 Core 3 T1 Usage [%]","Zen5c Core 4 T0 Usage [%]","Zen5c Core 4 T1 Usage [%]","Zen5c Core 5 T0 Usage [%]","Zen5c Core 5 T1 Usage [%]","Zen5c Core 6 T0 Usage [%]","Zen5c Core 6 T1 Usage [%]","Zen5c Core 7 T0 Usage [%]","Zen5c Core 7 T1 Usage [%]","Zen5c Core 8 T0 Usage [%]","Zen5c Core 8 T1 Usage [%]","Zen5c Core 9 T0 Usage [%]","Zen5c Core 9 T1 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","Core Utility (avg) [%]","Package C6 Residency [%]","Core C0 Residency (avg) [%]","Core C1 Residency (avg) [%]","Core C6 Residency (avg) [%]","CPU (Tctl/Tdie) [°C]","CPU Core [°C]","CPU SOC [°C]","CPU Package Power [W]","Core Powers (avg) [W]","Core 0 Power [W]","Core 1 Power [W]","Core 2 Power [W]","Core 3 Power [W]","Core 4 Power [W]","Core 5 Power [W]","Core 6 Power [W]","Core 7 Power [W]","Core 8 Power [W]","Core 9 Power [W]","DRAM Read Bandwidth [GB/s]","DRAM Write Bandwidth [GB/s]","Average Active Core Count []","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [°C]","GPU Core Voltage [V]","GPU ASIC Power [W]","GPU Clock [MHz]","GPU Clock (Effective) [MHz]","GPU Memory Clock [MHz]","GPU SoC Clock [MHz]","GPU VCN Clock [MHz]","GPU Utilization [%]","GPU D3D Usage [%]","GPU D3D Utilizations (avg) [%]","GPU Computing (Compute 0) Usage [%]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","GPU Memory Usage [MB]","Framerate [FPS]","Battery Voltage [V]","Remaining Capacity [Wh]","Charge Level [%]","Charge Rate [W]","Wear Level [%]","Estimated Remaining Time [mins]","Current DL rate [KB/s]","Current UP rate [KB/s]","Current DL rate [KB/s]","Current UP rate [KB/s]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]",
25.6.2025,23:56:43.048,2720.7,1996.4,4741.4,4741.4,4741.4,1576.5,3104.4,1576.5,1576.5,1576.5,1576.5,6.5,6.0,7.6,6.0,5.9,13.4,12.7,13.9,11.3,10.4,4.6,7.1,4.1,3.8,5.9,5.0,3.0,4.2,2.9,1.3,1.2,13.9,6.5,10.3,11.4,12.6,17.8,69.7,55.6,54.3,53.4,9.470,0.391,0.463,0.375,1.109,1.017,0.296,0.167,0.170,0.154,0.132,0.031,2.283,0.345,1.4,1.0,0.7,1.7,2.697,1.099,50198,160424,50.8,0.132,9.000,907.0,33.6,809.0,636.0,800.0,3.0,1.1,0.0,0.0,297,1651,16.0,26483,0.0,8.822,68.530,100.0,0.000,0.0,571.7,0.0,0.0,0.0,0.0,0.7,1.0,0,0,
25.6.2025,23:56:45.039,2720.7,1996.4,4741.4,4741.4,4741.4,1576.5,1576.5,3104.4,1576.5,1576.5,1576.5,5.7,7.7,4.5,9.0,3.4,17.6,6.1,17.1,6.8,8.9,2.3,6.7,3.3,3.7,2.4,3.5,2.8,4.3,2.7,0.8,0.8,17.6,5.7,8.9,12.7,11.4,16.9,71.8,55.4,53.9,53.2,8.906,0.345,0.426,0.376,1.012,0.981,0.182,0.135,0.087,0.106,0.126,0.021,2.004,0.284,1.2,0.1,0.8,0.9,0.098,0.715,50198,160425,51.0,0.608,9.000,857.0,94.6,812.0,629.0,800.0,2.0,0.9,0.0,0.0,295,1647,16.0,26480,0.0,8.822,68.530,100.0,0.000,0.0,571.7,0.0,0.0,0.0,0.0,4.3,4.3,0,0,
25.6.2025,23:56:47.046,3300.8,4741.4,4741.4,4741.4,4741.4,3104.4,3104.4,1576.5,1576.5,3104.4,1576.5,5.5,8.7,6.0,7.3,4.4,17.4,6.1,18.3,6.0,7.6,1.8,5.5,2.9,3.5,2.9,3.1,1.5,3.2,2.6,0.8,0.8,18.3,5.5,9.0,12.9,11.4,16.2,72.4,55.5,54.1,53.3,8.934,0.349,0.518,0.339,1.013,1.046,0.154,0.104,0.097,0.083,0.107,0.026,2.068,0.321,1.2,0.1,0.7,0.8,0.081,0.266,50198,160426,51.0,0.644,8.000,855.0,88.4,816.0,634.0,800.0,2.0,1.1,0.0,0.0,295,1629,16.0,26480,0.0,8.822,68.530,100.0,0.000,0.0,571.7,0.0,0.0,0.0,0.0,0.3,0.1,0,0,
25.6.2025,23:56:49.040,2679.2,4741.4,1580.5,4741.4,4741.4,3104.4,1576.5,1576.5,1576.5,1576.5,1576.5,6.1,8.5,5.3,8.5,2.9,20.4,5.9,21.4,6.7,7.0,2.0,5.8,3.0,4.9,2.8,5.5,1.4,3.9,2.9,1.5,0.7,21.4,6.1,10.6,12.5,12.6,15.7,71.8,56.0,54.8,53.5,9.458,0.406,0.489,0.370,1.186,1.229,0.152,0.113,0.156,0.160,0.134,0.073,2.344,0.308,1.4,0.1,0.3,0.3,0.065,0.151,50198,160426,51.0,0.617,10.000,882.0,85.3,824.0,639.0,800.0,2.0,1.0,0.0,0.0,295,1629,16.0,26480,0.0,8.822,68.530,100.0,0.000,0.0,571.7,0.0,0.0,0.0,0.0,0.4,0.2,0,0,
25.6.2025,23:56:51.046,2873.5,1996.4,4741.4,4741.4,4741.4,3104.4,3104.4,1576.5,1576.5,1576.5,1576.5,6.0,8.3,4.6,8.1,3.4,19.1,5.6,20.2,7.2,7.7,2.8,6.7,3.1,4.4,3.2,4.5,4.2,3.0,1.9,1.2,1.3,20.2,6.0,9.1,10.3,11.7,18.4,69.9,55.9,54.3,53.3,9.120,0.371,0.478,0.340,1.071,1.177,0.177,0.127,0.101,0.161,0.053,0.021,2.046,0.264,1.2,0.0,0.3,0.3,0.008,0.048,50198,160426,51.0,0.633,9.000,866.0,83.9,832.0,643.0,800.0,2.0,1.0,0.0,0.0,295,1629,16.0,26480,0.0,8.822,68.530,100.0,0.000,0.0,571.7,0.0,0.0,0.0,0.0,0.6,1.0,0,0,
25.6.2025,23:56:53.049,2363.1,1580.5,1580.5,4741.4,4741.4,3104.4,1576.5,1576.5,1576.5,1576.5,1576.5,5.2,8.5,4.7,7.0,3.2,18.8,4.9,19.5,7.0,7.8,0.9,5.9,2.3,2.9,1.4,3.5,1.1,2.6,1.1,0.9,0.4,19.5,5.2,8.9,10.1,11.5,17.5,71.1,55.6,54.3,53.4,9.119,0.359,0.422,0.328,1.150,1.110,0.174,0.120,0.078,0.106,0.081,0.023,2.055,0.271,1.2,0.0,0.0,0.0,0.000,0.000,50198,160426,51.1,0.661,9.000,856.0,89.5,822.0,634.0,800.0,2.0,1.1,0.0,0.0,295,1629,16.0,26480,0.0,8.822,68.530,100.0,0.000,0.0,571.7,0.0,0.0,0.0,0.0,0.2,0.3,0,0,
25.6.2025,23:56:55.047,2995.2,4741.4,4741.4,4741.4,4741.4,3104.4,1576.5,1576.5,1576.5,1576.5,1576.5,5.1,7.9,4.2,9.2,2.8,17.7,4.9,15.3,6.7,7.4,1.4,5.3,3.0,2.6,1.8,3.8,1.9,3.8,1.6,0.3,0.9,17.7,5.1,8.4,9.8,10.7,18.4,71.0,55.4,54.1,53.5,8.797,0.335,0.430,0.359,0.943,0.986,0.252,0.110,0.049,0.108,0.086,0.026,1.879,0.241,1.2,0.0,0.3,0.3,0.000,0.014,50198,160426,51.2,0.636,9.000,877.0,84.4,809.0,632.0,800.0,2.0,1.0,0.0,0.0,295,1629,16.0,26480,0.0,8.822,68.530,100.0,0.000,0.0,571.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
25.6.2025,23:56:57.046,1902.0,4741.4,1580.5,1580.5,1580.5,1592.1,1592.1,1592.1,1592.1,1592.1,1576.5,6.2,9.6,5.1,7.0,3.8,19.9,6.3,20.3,8.3,8.1,1.6,7.2,3.3,3.1,2.4,4.5,5.7,2.7,2.7,1.6,0.9,20.3,6.2,10.2,10.1,12.5,19.1,68.5,56.1,54.7,53.6,9.685,0.418,0.562,0.352,1.225,1.253,0.180,0.176,0.066,0.244,0.096,0.028,2.281,0.302,1.3,0.0,0.0,0.0,0.000,0.000,50198,160426,51.2,0.612,9.000,866.0,80.8,812.0,638.0,800.0,2.0,1.1,0.0,0.0,295,1629,16.0,26480,0.0,8.822,68.530,100.0,0.000,0.0,571.7,0.0,0.0,0.0,0.0,0.4,0.2,0,0,
25.6.2025,23:56:59.050,2873.5,1996.4,4741.4,4741.4,4741.4,3104.4,3104.4,1576.5,1576.5,1576.5,1576.5,10.4,15.9,7.0,14.4,6.3,25.4,7.8,24.7,10.5,10.8,14.3,13.3,9.0,9.8,5.1,6.9,4.5,7.9,4.9,5.9,4.4,25.4,10.4,18.2,9.4,17.8,20.3,61.9,59.5,57.1,55.0,12.900,0.705,0.943,0.792,1.494,1.626,0.633,0.441,0.329,0.269,0.291,0.233,3.601,0.791,2.0,0.3,0.5,0.9,0.028,0.096,50198,160426,51.2,0.661,16.000,1075.0,90.9,869.0,731.0,800.0,5.0,1.3,0.0,0.0,307,1784,16.0,26491,0.0,8.822,68.530,100.0,0.000,0.0,571.7,0.0,0.0,0.0,0.0,1.2,1.3,0,0,
25.6.2025,23:57:1.041,2363.1,1580.5,1580.5,4741.4,4741.4,1576.5,1576.5,3104.4,1576.5,1576.5,1576.5,10.4,7.3,9.5,5.3,9.0,14.2,12.0,11.8,14.1,15.8,14.2,12.1,7.2,10.7,16.5,5.8,12.0,11.1,6.2,6.4,7.2,16.5,10.4,16.9,4.8,17.0,23.9,59.1,60.6,55.9,55.0,13.026,0.670,0.628,0.521,1.153,1.175,0.830,0.608,0.717,0.410,0.384,0.275,3.709,0.857,2.0,0.2,0.4,0.6,0.081,0.277,50199,160427,51.5,0.639,11.000,896.0,146.7,852.0,657.0,800.0,2.0,1.3,0.0,0.0,305,1764,16.0,26489,0.0,8.822,68.530,100.0,0.000,0.0,571.7,0.0,0.0,0.0,0.0,0.6,1.0,0,0,
